State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,0.0
"(1, 1.0, 0.0, 0.0)",4.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,0.90000059049
"(1, 1.0, 0.0, 0.0)",3.0,0.009729
"(1, 1.0, 0.0, 1.0)",2.0,0.27
"(1, 1.0, 0.0, 2.0)",0.0,0.0
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0
"(1, 1.0, 0.0, 2.0)",3.0,0.27
"(1, 1.0, 0.0, 3.0)",3.0,0.027
"(1, 1.0, 0.0, 3.0)",0.0,0.009
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 0.0, 3.0)",1.0,0.856
"(1, 1.0, 1.0, 0.0)",3.0,0.0
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.27
"(1, 1.0, 1.0, 0.0)",4.0,0.0
"(1, 1.0, 1.0, 0.0)",1.0,0.09
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.015907024648545657
"(1, 1.0, 1.0, 2.0)",4.0,1.77147e-06
"(1, 1.0, 1.0, 2.0)",1.0,0.18250631952874055
"(1, 1.0, 1.0, 2.0)",3.0,0.0205096102454961
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.00019683
"(1, 1.0, 1.0, 3.0)",4.0,0.00041593500000000004
"(1, 1.0, 1.0, 3.0)",1.0,0.0829683
"(1, 1.0, 1.0, 3.0)",3.0,0.12005648421304496
"(1, 1.0, 1.0, 4.0)",1.0,0.0
"(1, 1.0, 1.0, 4.0)",2.0,0.0
"(1, 1.0, 1.0, 4.0)",4.0,5.904899999999999e-05
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.1029
"(1, 1.0, 2.0, 0.0)",4.0,0.037290000000000004
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.027
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3
"(1, 1.0, 2.0, 3.0)",4.0,0.1083141
"(1, 1.0, 2.0, 4.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",3.0,0.027
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 2.0, 0.0, 0.0)",3.0,0.03
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 0.0)",4.0,0.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 2.0)",3.0,0.0
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 3.0)",1.0,0.0
"(1, 2.0, 0.0, 3.0)",3.0,0.0
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.0
"(1, 2.0, 0.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 4.0)",1.0,1.0
