State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,1.0
"(1, 1.0, 0.0, 0.0)",3.0,0.009729
"(1, 1.0, 0.0, 1.0)",2.0,0.3
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0
"(1, 1.0, 0.0, 3.0)",3.0,0.027
"(1, 1.0, 0.0, 3.0)",0.0,0.009
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 0.0, 3.0)",1.0,1.0
"(1, 1.0, 1.0, 0.0)",2.0,0.27
"(1, 1.0, 1.0, 0.0)",1.0,0.09
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.025269399535500003
"(1, 1.0, 1.0, 2.0)",4.0,0.0
"(1, 1.0, 1.0, 2.0)",1.0,0.11328039811196103
"(1, 1.0, 1.0, 2.0)",3.0,0.0043046720999999994
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.00019683
"(1, 1.0, 1.0, 3.0)",4.0,0.0
"(1, 1.0, 1.0, 3.0)",1.0,0.09218699999999999
"(1, 1.0, 1.0, 3.0)",3.0,0.14802288174449996
"(1, 1.0, 1.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.081
"(1, 1.0, 2.0, 0.0)",4.0,0.0081
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.3
"(1, 1.0, 2.0, 3.0)",4.0,0.110349
"(1, 1.0, 2.0, 4.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",3.0,0.027
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 2.0, 0.0, 0.0)",3.0,0.0
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 2.0)",3.0,0.0
"(1, 2.0, 0.0, 2.0)",0.0,0.0
"(1, 2.0, 0.0, 2.0)",4.0,0.0
"(1, 2.0, 0.0, 3.0)",3.0,0.0
"(1, 2.0, 0.0, 3.0)",0.0,0.0
"(1, 2.0, 0.0, 3.0)",2.0,0.0
"(1, 2.0, 0.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 6.0)",0.0,0.0
"(1, 2.0, 0.0, 6.0)",2.0,0.0
"(1, 2.0, 0.0, 6.0)",4.0,0.0
"(1, 2.0, 1.0, 0.0)",1.0,0.0
"(1, 2.0, 1.0, 0.0)",3.0,0.0
"(1, 2.0, 1.0, 0.0)",0.0,0.0
"(1, 2.0, 1.0, 0.0)",2.0,0.0
"(1, 2.0, 1.0, 0.0)",4.0,0.0
"(1, 2.0, 1.0, 2.0)",1.0,0.0041723422324474084
"(1, 2.0, 1.0, 2.0)",3.0,5.365355134375817e-07
"(1, 2.0, 1.0, 2.0)",0.0,0.0003812798765480186
"(1, 2.0, 1.0, 2.0)",2.0,8.358853625598378e-05
