State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,0.0
"(1, 1.0, 0.0, 0.0)",4.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,0.539356241830095
"(1, 1.0, 0.0, 0.0)",3.0,0.034880667147
"(1, 1.0, 0.0, 1.0)",1.0,0.0
"(1, 1.0, 0.0, 1.0)",3.0,0.21905844943230002
"(1, 1.0, 0.0, 1.0)",0.0,6.560999999999999e-05
"(1, 1.0, 0.0, 1.0)",2.0,0.22682187
"(1, 1.0, 0.0, 2.0)",0.0,0.00729177147
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.0007289999999999999
"(1, 1.0, 0.0, 2.0)",1.0,0.081243
"(1, 1.0, 0.0, 2.0)",3.0,0.1745802062348532
"(1, 1.0, 0.0, 3.0)",3.0,0.048870590490000004
"(1, 1.0, 0.0, 3.0)",0.0,0.008100053144099999
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 0.0, 3.0)",1.0,0.5319111972969001
"(1, 1.0, 0.0, 4.0)",0.0,0.0243
"(1, 1.0, 1.0, 0.0)",3.0,0.0
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.14704561993330797
"(1, 1.0, 1.0, 0.0)",4.0,0.03
"(1, 1.0, 1.0, 0.0)",1.0,0.09
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.03949086412235823
"(1, 1.0, 1.0, 2.0)",4.0,0.006804021591160673
"(1, 1.0, 1.0, 2.0)",1.0,0.3771074836492312
"(1, 1.0, 1.0, 2.0)",3.0,0.018539394252214732
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.059486283222030006
"(1, 1.0, 1.0, 3.0)",4.0,0.0173728949535
"(1, 1.0, 1.0, 3.0)",1.0,0.23355632085730135
"(1, 1.0, 1.0, 3.0)",3.0,0.06653319125666482
"(1, 1.0, 1.0, 4.0)",1.0,0.0
"(1, 1.0, 1.0, 4.0)",3.0,0.00656159049
"(1, 1.0, 1.0, 4.0)",2.0,0.0
"(1, 1.0, 1.0, 4.0)",4.0,0.0002961441
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.0007289999999999999
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.10161
"(1, 1.0, 2.0, 0.0)",4.0,0.063561
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.027
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.27
"(1, 1.0, 2.0, 3.0)",4.0,0.1083141
"(1, 1.0, 2.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 4.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",3.0,0.027
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 0.0)",3.0,0.01517673396283947
"(1, 2.0, 0.0, 0.0)",0.0,0.0
