State,Action,Q-Value
"(1, 1.0, 0.0, 0.0)",0.0,0.0
"(1, 1.0, 0.0, 0.0)",2.0,0.0
"(1, 1.0, 0.0, 0.0)",4.0,0.0
"(1, 1.0, 0.0, 0.0)",1.0,0.61277792797844
"(1, 1.0, 0.0, 0.0)",3.0,0.009729
"(1, 1.0, 0.0, 1.0)",3.0,0.27
"(1, 1.0, 0.0, 1.0)",2.0,0.252
"(1, 1.0, 0.0, 2.0)",0.0,0.009
"(1, 1.0, 0.0, 2.0)",2.0,0.0
"(1, 1.0, 0.0, 2.0)",4.0,0.00081
"(1, 1.0, 0.0, 2.0)",3.0,0.18962505000000002
"(1, 1.0, 0.0, 3.0)",3.0,0.0543
"(1, 1.0, 0.0, 3.0)",0.0,0.009
"(1, 1.0, 0.0, 3.0)",2.0,0.0
"(1, 1.0, 0.0, 3.0)",1.0,0.69579
"(1, 1.0, 0.0, 4.0)",0.0,0.027
"(1, 1.0, 1.0, 0.0)",3.0,0.0
"(1, 1.0, 1.0, 0.0)",0.0,0.0
"(1, 1.0, 1.0, 0.0)",2.0,0.2041259049
"(1, 1.0, 1.0, 0.0)",4.0,0.0
"(1, 1.0, 1.0, 0.0)",1.0,0.09
"(1, 1.0, 1.0, 2.0)",0.0,0.0
"(1, 1.0, 1.0, 2.0)",2.0,0.008453645086247753
"(1, 1.0, 1.0, 2.0)",4.0,0.01504497230278827
"(1, 1.0, 1.0, 2.0)",1.0,0.12860612811929378
"(1, 1.0, 1.0, 2.0)",3.0,0.026285758588916117
"(1, 1.0, 1.0, 3.0)",0.0,0.0
"(1, 1.0, 1.0, 3.0)",2.0,0.04085909907
"(1, 1.0, 1.0, 3.0)",4.0,0.00037434150000000005
"(1, 1.0, 1.0, 3.0)",1.0,0.069634323
"(1, 1.0, 1.0, 3.0)",3.0,0.06653319125666482
"(1, 1.0, 1.0, 4.0)",1.0,0.0
"(1, 1.0, 1.0, 4.0)",3.0,0.0081
"(1, 1.0, 1.0, 4.0)",2.0,0.0
"(1, 1.0, 1.0, 4.0)",4.0,0.0002961441
"(1, 1.0, 2.0, 0.0)",1.0,1.0
"(1, 1.0, 2.0, 0.0)",3.0,0.0007289999999999999
"(1, 1.0, 2.0, 0.0)",0.0,1.0
"(1, 1.0, 2.0, 0.0)",2.0,0.1029
"(1, 1.0, 2.0, 0.0)",4.0,0.037290000000000004
"(1, 1.0, 2.0, 3.0)",1.0,1.0
"(1, 1.0, 2.0, 3.0)",3.0,0.027
"(1, 1.0, 2.0, 3.0)",0.0,1.0
"(1, 1.0, 2.0, 3.0)",2.0,0.27
"(1, 1.0, 2.0, 3.0)",4.0,0.1083141
"(1, 1.0, 2.0, 4.0)",2.0,0.0
"(1, 1.0, 2.0, 4.0)",4.0,0.3
"(1, 1.0, 2.0, 4.0)",3.0,0.027
"(1, 1.0, 2.0, 4.0)",0.0,1.0
"(1, 1.0, 3.0, 0.0)",2.0,2.0
"(1, 1.0, 3.0, 3.0)",4.0,0.0
"(1, 2.0, 0.0, 0.0)",3.0,0.01594323
"(1, 2.0, 0.0, 0.0)",0.0,0.0
"(1, 2.0, 0.0, 0.0)",2.0,0.0
"(1, 2.0, 0.0, 0.0)",4.0,0.0
"(1, 2.0, 0.0, 0.0)",1.0,0.0
"(1, 2.0, 0.0, 2.0)",1.0,0.0
"(1, 2.0, 0.0, 2.0)",3.0,0.0
